path_25,0 3,3 2,2 5,5 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_26,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 241
path_27,0 3,3 2,2 5,5 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_28,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 241
path_29,0 3,3 2,2 5,5 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_30,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 241
path_31,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 241
path_32,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 241
path_33,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,140737090126944 177
path_34,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 241
path_35,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 241
path_36,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 241
path_37,0 3,3 2,2 5,5 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_38,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 241
path_39,0 3,3 2,2 5,5 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_40,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 241
path_41,0 3,3 2,2 5,5 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,0 241
path_42,0 3,3 2,2 6,6 14,14 7,7 8,8 12,12 10,10 9,9 1,1 11,11 13,13 4,4 5,0 241
